,Stock,Price,Volume,5EMA,20EMA,50EMA,100EMA,200EMA,RSI,compare
0,GTB,0.9100000262260437,1923900.0,1.000303542703922,1.073520450822309,0.9399231175076698,0.9045161266128049,0.7900141994922742,38.28,True
2,LEE,2.619999885559082,322400.0,2.722698857065023,2.75448356176247,2.7872960462653,2.7774977204421347,2.501485691819133,29.42,True
4,PPPM,0.20999999344348907,363200.0,0.22195971272062545,0.24816000967935767,0.3308366001260746,0.2621844812695072,0.2046354999872979,31.37,True
6,VPO,1.2300000190734863,2836300.0,1.2673747099990875,1.2427727841716922,1.231836754599494,1.0699237172301401,0.7285683923723121,48.13,True
7,BR,2.799999952316284,1644100.0,2.9815846511719886,3.079877558926408,3.12144711188024,2.9749651255586116,2.4717783404567832,31.97,True
11,GLOCON,1.190000057220459,56207600.0,1.2122052501760332,1.2065414464966635,1.1740634478792882,1.0230949943598595,0.969341028216069,48.35,True
17,CPH,3.859999895095825,1300.0,3.87093955658659,3.9227770949762393,4.049631219160909,3.911750121500291,3.5708730757981733,45.47,True
18,CPL,1.9800000190734863,409700.0,2.0101198562697578,2.044844751395632,2.070152516679539,1.754853487445542,1.3877235174224989,41.87,True
19,PAF,1.590000033378601,121000.0,1.6208733146056165,1.7433778208494142,1.8291032435487167,1.7297788755420842,1.0073080446616731,34.88,True
20,PDJ,2.259999990463257,73300.0,2.2728900560137646,2.4175521687990917,2.67446112888688,2.2013270198430184,1.7147018288645361,33.47,True
21,AJA,0.3400000035762787,9433700.0,0.3394659287867253,0.35279087479863785,0.3259933060827398,0.2621012333342434,0.18023634096989327,49.43,True
22,FANCY,0.9200000166893005,2451700.0,0.9666386635478126,1.013681746176972,1.0885055027543826,1.01523167092763,0.7556059668491231,35.08,True
23,MODERN,3.7200000286102295,77000.0,3.746162135577112,3.8278630010204844,3.966695279359554,3.63231089354976,3.124480572567014,36.68,True
24,SIAM,2.059999942779541,7502200.0,2.0734185024294036,2.094473031777566,2.0208591555702227,2.054145865196194,1.647698095995045,50.9,True
28,AMANAH,4.880000114440918,6360600.0,4.77837395776255,4.994795611327026,5.307157692594329,5.707488908513436,4.2834035556961485,46.7,True
29,ASAP,2.319999933242798,23800.0,2.387750129561167,2.537451762340605,2.5868348464278488,2.641124708796995,2.21696299607431,33.67,True
30,ASP,3.299999952316284,7988100.0,3.2779805747124855,3.3386007683857697,3.598591253649066,3.1857438733939567,2.4984386475254317,45.76,True
31,CGH,1.0,7879800.0,0.9985355611157148,1.0555259469005747,1.106725439403542,1.06290480010786,0.8276411530594485,37.78,True
32,ECL,1.7000000476837158,9259200.0,1.6953625036918634,1.838423001671479,2.000370893589806,1.7763955412360704,1.2901787730646799,39.16,True
33,FNS,4.159999847412109,33500.0,4.159460191932358,4.231835900494584,4.490045527259373,4.61693359059749,4.006051770269554,37.46,True
36,IFS,2.5799999237060547,70700.0,2.6014796458301017,2.6451061543951675,2.6935081716571787,2.6923033849765123,2.5376169168563116,39.94,True
37,ML,1.190000057220459,2789400.0,1.203010966688567,1.2813698189978844,1.4200784314309793,1.3244054198666986,1.043631997601682,38.37,True
39,PL,2.5799999237060547,273700.0,2.594790014564315,2.651350690530233,2.69102501925634,2.644410432594642,2.3191132691867478,39.92,True
40,THANI,4.360000133514404,11798600.0,4.55088313418324,4.800575091911419,4.681895587846512,4.459024962624465,4.10920107442708,34.77,True
41,XPG,3.380000114440918,9244600.0,3.5848471352000892,3.435720786989512,7.281807826388615,5.7294641328523035,2.879219951483575,34.14,True
45,TSI,0.30000001192092896,125100.0,0.2930208835567407,0.30466564454032774,0.33391992132226384,0.32192192868545566,0.2947935244586194,45.43,True
46,ACG,2.3399999141693115,349100.0,2.399649650895208,2.541039875802093,2.830979690870677,2.3860003532069736,1.6612738546849204,35.1,True
47,CWT,3.5999999046325684,1485000.0,3.6020072308022146,3.717248815346476,3.9337749092411216,3.7675578146865347,3.108074410452064,41.42,True
48,EASON,1.75,16067800.0,1.7455646422789814,1.8592368157875292,1.8674345406272492,1.5408805854998138,1.4053403546792687,43.23,True
49,IHL,4.039999961853027,8413700.0,4.3574022636049135,4.274620539871406,4.408413233623234,4.386206682235874,4.004826347536344,38.79,True
50,INGRS,0.8899999856948853,11862600.0,0.9217196673477391,0.997268132184546,0.9784571837076322,0.7905464552063198,0.6015037019133144,42.12,True
53,TRU,4.400000095367432,14900.0,4.405857850904573,4.410773321281599,4.288881180170364,4.081111163024026,3.807214291244497,53.35,True
54,ALLA,1.7899999618530273,1032800.0,1.7668479307183502,1.8793025304113768,1.995549290354083,1.7953600156856628,1.437535552666489,42.99,True
55,ASEFA,3.940000057220459,72900.0,3.9609905823634395,4.268767532524623,4.450184243263849,4.663589367853165,3.936067064858705,14.36,True
