,Stock,Price,Volume,5EMA,15EMA,35EMA,200EMA,RSI,compare
0,GTB,0.8999999761581421,5275700.0,0.8899206514509748,0.907636783526555,1.00438967841651,0.796046696870812,45.63,True
5,TRUBB,2.619999885559082,15519700.0,2.6467978450522787,2.7253088304423354,2.77036491860946,2.274519952889694,41.42,True
12,KBS,4.480000019073486,60900.0,4.473850043287451,4.590004821064252,4.523520253259665,3.5431318766582085,46.43,True
13,KSL,3.619999885559082,4311100.0,3.6182857680831484,3.742676827653864,3.5416124668796605,3.080977096488208,47.84,True
17,CPH,3.940000057220459,36400.0,3.8039088757840163,3.851953579404593,3.9156113190283994,3.6134328244749896,54.3,True
20,PDJ,2.1600000858306885,91900.0,2.1360301505054453,2.142762185212583,2.3655840898837295,1.7480438102806057,43.45,True
22,FANCY,0.9399999976158142,2913400.0,0.9186467370570701,0.9328534911722849,0.9796775396618561,0.7816288005649485,46.83,True
23,MODERN,3.6600000858306885,199000.0,3.6127007591755476,3.6478941316723303,3.7866604830705333,3.196148433861254,43.71,True
24,SIAM,1.8799999952316284,804900.0,1.8730208876668213,1.9612407701174495,2.021081792968088,1.674911304736849,39.48,True
26,TSR,3.4000000953674316,742600.0,3.3894598810724474,3.522820303698849,3.835712712621224,3.873417825783595,36.77,True
33,FNS,3.9800000190734863,431300.0,3.9077526133577667,4.002297140958888,4.177457096341582,4.100769796107694,43.35,True
36,IFS,2.5799999237060547,420500.0,2.5603304712727866,2.5614356657778528,2.622660050193815,2.551962317908619,48.44,True
38,PE,0.029999999329447746,0.0,0.029999999329447746,0.02999999932944775,0.02999999932944774,0.02999999932944774,,True
40,THANI,4.380000114440918,31446300.0,4.370831505269338,4.40677075836408,4.730530301065644,4.176858032751057,42.51,True
42,KWG,1.590000033378601,583300.0,1.5695859952448732,1.8881530558922333,1.9926580268279668,1.3648831712168759,36.66,True
43,THRE,1.4199999570846558,5486600.0,1.4068204152351282,1.4333194575955017,1.3933732218270944,1.4524548007343563,51.56,True
48,EASON,1.6100000143051147,4874100.0,1.53402530336821,1.5933916722693824,1.7824361948144944,1.424922392697934,46.61,True
49,IHL,3.9200000762939453,632300.0,3.972617326694685,4.123176704934818,4.200131208164312,4.0631769290871285,38.32,True
51,TKT,2.0999999046325684,2818900.0,1.9601129407080515,2.0463281881390776,2.086033931270567,1.209665928901724,54.25,True
53,TRU,4.360000133514404,30600.0,4.3832333627127165,4.4103236187795,4.393051269158866,3.8501796412000795,46.27,True
55,ASEFA,3.9200000762939453,314900.0,3.917031901407086,3.92844559591877,4.211647856694484,4.002699897483097,32.41,True
60,STARK,4.300000190734863,18429500.0,4.322851444067307,4.350938118076824,4.186410192355816,4.159613698705377,51.43,True
61,TCJ,3.9600000381469727,51000.0,3.8767232211552027,3.9283208048753147,4.237505902121534,3.819533705968144,42.88,True
66,SUTHA,4.599999904632568,79000.0,4.574759429011306,4.615730454454297,4.682726445368115,4.192804647396707,47.29,True
70,SLP,0.8799999952316284,23322000.0,0.8043880540384278,0.8187549572143418,0.8954203903323041,0.6013014776531311,54.06,True
71,SPACK,2.9200000762939453,1545200.0,2.832236897661671,2.9135623595283593,3.158460493758654,2.7950029204814335,46.67,True
72,TFI,0.23999999463558197,6120100.0,0.22950472744440387,0.23528651435110148,0.24869840835210905,0.19643461892478886,49.07,True
74,BSBM,1.4600000381469727,1126600.0,1.4524083871372069,1.4653376246780716,1.4576869228939433,1.199210003428365,49.13,True
83,PERM,2.740000009536743,7281200.0,2.6896262794094157,2.74605438342389,2.6679846858142766,1.8364675359597533,51.89,True
86,SSSC,2.7200000286102295,112900.0,2.685051288337635,2.7150842045336097,2.6878108614139937,2.470637375653277,52.14,True
91,TYCN,3.5799999237060547,79000.0,3.518489635102485,3.5811671884580982,3.4748853311286614,2.6121525385392643,53.13,True
94,DCC,3.0199999809265137,13704000.0,2.971632681004057,3.048369439447741,3.1444258395289646,2.5885609650590284,45.7,True
99,UMI,1.3700000047683716,1859500.0,1.3495239058558004,1.3497270927543839,1.411946084967902,1.043262480189752,49.79,True
101,A,4.980000019073486,1900.0,4.975171115997163,4.977468361713409,4.977414975904418,4.994604689886181,51.86,True
117,MJD,1.7999999523162842,2706100.0,1.805107030188414,1.8357726065558375,1.8891078214412649,1.7639443675156736,40.95,True
118,MK,3.0399999618530273,142500.0,3.057718930479858,3.067555495487859,3.0850693653486503,3.0888246417068386,39.29,True
