,MorningStar,Price,Volume
0,AEC,1.5800000429153442,119421100
1,CWT,4.0,3868500
2,UTP,19.899999618530273,4125400
3,PERM,2.559999942779541,2873100
4,UNIQ,7.650000095367432,2380400
5,WGE,2.0799999237060547,3074300
6,RATCH,47.0,96489900
7,SCI,2.0199999809265137,2652400
8,SUPER,0.9399999976158142,257135600
9,TAE,2.5,2455100
10,ILM,15.300000190734863,656000
11,WORK,22.600000381469727,2741100
12,ERW,2.940000057220459,70595400
13,ASIMAR,2.7200000286102295,752800
14,BTS,9.550000190734863,51174500
15,JUTHA,1.0800000429153442,735400
16,JWD,12.100000381469727,7813700
