,Stock,Price,Volume,20SMA,50SMA,RSI,compare
2,LEE,2.619999885559082,322400.0,2.748999989032746,2.7787999725341797,29.42,True
3,MAX,0.009999999776482582,0.0,0.009999999776482584,0.010599999763071535,47.35,True
4,PPPM,0.20999999344348907,363200.0,0.24349999874830247,0.3112000021338463,31.37,True
5,TRUBB,2.9000000953674316,14009500.0,2.8284759283065797,2.8537903785705567,53.82,True
7,BR,2.799999952316284,1644100.0,3.06199996471405,3.120799984931946,31.97,True
8,CFRESH,2.0799999237060547,535800.0,2.1495000123977666,2.1690000200271604,44.96,True
10,CPI,3.2200000286102295,924000.0,3.055000007152558,3.102799983024597,58.7,True
12,KBS,4.559999942779541,270900.0,4.5855000734329225,4.618000040054321,48.15,True
13,KSL,3.819999933242798,15013500.0,3.507000017166138,3.7696000194549564,57.94,True
14,SST,4.239999771118164,200.0,4.226999878883362,4.247599964141846,53.17,True
15,TFG,4.5,1045600.0,4.631999921798705,4.763400011062622,37.89,True
16,W,3.859999895095825,1143400.0,3.5250000000000004,23.56869194984436,12.42,True
17,CPH,3.859999895095825,1300.0,3.9060000061988833,4.020799956321717,45.47,True
18,CPL,1.9800000190734863,409700.0,2.035999965667725,2.066799964904785,41.87,True
19,PAF,1.590000033378601,121000.0,1.7169999897480013,1.8055999946594241,34.88,True
20,PDJ,2.259999990463257,73300.0,2.38899998664856,2.614399991035461,33.47,True
22,FANCY,0.9200000166893005,2451700.0,1.0054999977350236,1.063799992799759,35.08,True
24,MODERN,3.7200000286102295,77000.0,3.809000027179718,3.9319999885559085,36.68,True
26,TCMC,1.7699999809265137,1637700.0,1.7505000054836275,1.8842000007629394,48.08,True
27,TSR,3.559999942779541,1428200.0,3.881999969482422,4.208400001525879,31.9,True
29,AMANAH,4.880000114440918,6360600.0,4.946000051498413,5.2220000076293935,46.7,True
30,ASAP,2.319999933242798,23800.0,2.504000020027161,2.5703999948501584,33.67,True
31,ASP,3.299999952316284,7988100.0,3.335999977588654,3.535199980735779,45.76,True
32,CGH,1.0,7879800.0,1.0455000162124635,1.0940000057220458,37.78,True
33,ECL,1.7000000476837158,9259200.0,1.8010000169277192,1.9599999928474428,39.16,True
34,FNS,4.159999847412109,33500.0,4.213999915122986,4.436399936676025,37.46,True
35,GBX,1.2999999523162842,64145900.0,1.231000018119812,1.3128000020980837,56.8,True
36,GL,0.6499999761581421,0.0,0.6499999761581421,0.6499999761581422,33.14,True
37,IFS,2.5799999237060547,70700.0,2.6349999785423277,2.6808000040054325,39.94,True
38,ML,1.190000057220459,2789400.0,1.2615000069141387,1.3850000000000002,38.37,True
40,PL,2.5799999237060547,273700.0,2.639999973773956,2.677599983215332,39.92,True
42,XPG,3.380000114440918,9244600.0,3.5084640622138976,6.610845561027528,34.14,True
43,KWG,2.0799999237060547,1860000.0,2.082500010728836,2.1090000057220455,48.65,True
45,THREL,2.9800000190734863,3537300.0,2.8200000047683713,3.1339999961853025,55.72,True
46,TSI,0.30000001192092896,125100.0,0.3025000035762787,0.32700000286102293,45.43,True
47,ACG,2.3399999141693115,349100.0,2.510000002384186,2.7476000022888187,35.1,True
48,CWT,3.5999999046325684,1485000.0,3.687000000476837,3.882799983024597,41.42,True
49,EASON,1.75,16067800.0,1.841500014066696,1.8622000050544738,43.23,True
50,IHL,4.039999961853027,8413700.0,4.274000024795532,4.376400012969971,38.79,True
51,INGRS,0.8899999856948853,11862600.0,0.9754999935626985,0.9807999968528748,42.12,True
55,ALLA,1.7899999618530273,1032800.0,1.8529999911785127,1.964999990463257,42.99,True
56,ASEFA,3.940000057220459,72900.0,4.233000135421753,4.40600004196167,14.36,True
57,CPT,0.8299999833106995,600400.0,0.8595000028610229,0.8894000017642975,35.6,True
58,CRANE,1.4199999570846558,3282000.0,1.5619999885559086,1.7103999924659732,44.84,True
62,TCJ,4.059999942779541,68600.0,4.292999982833863,4.483999977111817,28.94,True
63,VARO,4.28000020980835,1100.0,4.390000033378602,4.53079999923706,43.88,True
64,CMAN,2.4200000762939453,216400.0,2.483000004291535,2.6204000043869016,41.18,True
66,NFC,3.9800000190734863,1200.0,3.9320000529289247,3.970000023841858,53.82,True
67,SUTHA,4.739999771118164,19900.0,4.67999997138977,4.798400030136109,51.38,True
68,UAC,4.960000038146973,309000.0,4.977000045776367,5.027200021743774,47.66,True
69,YCI,0.15000000596046448,4294000.0,0.7173800021409987,0.812086421251297,9.34,True
70,NEP,0.4000000059604645,565700.0,0.39199999570846566,0.3989999955892563,51.87,True
74,TFI,0.23999999463558197,14371800.0,0.25450000017881397,0.2636000010371209,38.58,True
75,AMC,4.340000152587891,26771700.0,3.893000030517578,3.986400017738342,66.02,True
76,BSBM,1.4600000381469727,2426100.0,1.460000002384186,1.5447999978065492,46.51,True
78,CITY,2.240000009536743,130800.0,2.26399998664856,2.322000007629394,46.58,True
80,GJS,0.3199999928474426,190214600.0,0.3240000009536743,0.3481999999284744,45.01,True
83,LHK,3.440000057220459,131200.0,3.4290000677108767,3.5188000440597533,48.57,True
84,MILL,1.2000000476837158,5019000.0,1.192500013113022,1.2844000029563902,46.79,True
85,PERM,2.9800000190734863,11021200.0,2.7190000057220463,2.7595999956130983,60.65,True
86,SAM,1.2100000381469727,1350900.0,1.217500013113022,1.2750000071525573,47.83,True
87,SMIT,4.440000057220459,216500.0,4.3810000896453865,4.462400026321411,53.14,True
88,SSSC,2.740000009536743,132700.0,2.6790000438690185,2.7716000413894655,54.61,True
89,TGPRO,0.28999999165534973,6443700.0,0.2995000034570694,0.3232000041007995,42.36,True
90,THE,2.9800000190734863,6480200.0,2.856000018119812,2.890799994468689,58.52,True
91,TSTH,1.6399999856948853,24998100.0,1.6969999969005587,1.7921999859809876,44.45,True
92,TWP,3.9200000762939453,704100.0,3.677999973297119,3.7319999980926513,61.8,True
93,TYCN,3.5,178400.0,3.5379999995231626,3.5436000013351436,48.13,True
94,CCP,0.5600000023841858,3925100.0,0.5700000047683716,0.6163999998569489,42.14,True
97,DCON,0.5,16225900.0,0.49899999499320985,0.5297999942302704,47.6,True
98,GEL,0.33000001311302185,1890600.0,0.3410000056028366,0.37380000114440914,40.94,True
99,PPP,2.0,542500.0,2.0769999265670775,2.1035999536514285,33.89,True
100,RCI,2.859999895095825,145000.0,3.5490000128746035,3.7283999490737916,26.86,True
