,Symbols,Vol,Avg,Chg,Price
0,GFPT,8393200,6667880.0,0.1,11.600000381469727
1,LEE,1217700,1132860.0,-0.06,2.7799999713897705
2,STA,13523300,8985300.0,-0.5,39.5
3,TWPC,1283800,1127060.0,0.0,5.300000190734863
4,BR,22975900,18952680.0,0.08,3.4800000190734863
5,BRR,1683100,1144140.0,0.0,7.0
6,CM,1148800,790840.0,-0.12,2.9600000381469727
7,CPF,38075500,25532260.0,-0.25,26.5
8,CPI,643500,612600.0,-0.02,3.0999999046325684
9,GLOCON,25137500,13490940.0,-0.03,1.090000033378601
10,KSL,24259700,15406460.0,-0.18,3.559999942779541
11,KTIS,4542000,817680.0,0.2,5.0
12,M,1324400,1192620.0,-0.25,53.75
13,MINT,19796100,16980420.0,0.0,30.75
14,OISHI,30800,21160.0,-0.75,42.25
15,PM,3519100,667660.0,-0.1,11.399999618530273
16,PRG,5200,3100.0,0.2,11.800000190734863
17,SAPPE,1660500,1327620.0,-0.25,25.75
18,SAUCE,13700,4880.0,-0.25,28.75
19,SNP,259300,203600.0,0.0,14.800000190734863
20,SORKON,787400,689940.0,-0.0,4.679999828338623
21,SST,247000,158720.0,0.0,4.300000190734863
22,TFMAMA,8200,6220.0,0.0,190.0
23,TU,37248800,30050000.0,0.4,19.200000762939453
24,BTNC,600,60.0,0.0,12.0
25,CPH,31000,25500.0,0.02,4.119999885559082
26,PDJ,1791000,520420.0,-0.18,2.619999885559082
27,SAWANG,42700,7720.0,-0.75,9.550000190734863
28,SUC,21300,16120.0,-0.25,36.25
29,TTT,1200,400.0,-1.5,49.0
30,AJA,22862700,22154680.0,0.0,0.3100000023841858
31,MODERN,549000,400780.0,-0.02,4.0
32,OGC,5200,2340.0,-1.25,25.0
33,DDD,8627200,7952580.0,0.0,19.0
34,OCC,600,460.0,-0.0,10.399999618530273
35,TNR,2835700,306160.0,-1.1,13.300000190734863
36,TOG,1173500,904940.0,-0.1,6.650000095367432
37,AEC,93722400,51701040.0,0.2,1.7799999713897705
38,AMANAH,14781000,10841040.0,-0.15,5.199999809265137
39,ECL,20780700,13406460.0,-0.06,1.9800000190734863
40,KCAR,109800,58320.0,-0.05,8.550000190734863
41,MBKET,677700,528080.0,-0.2,12.899999618530273
42,MICRO,6124200,4838100.0,-0.2,8.75
43,NCAP,9087300,7303200.0,-0.3,11.199999809265137
44,SAK,16549200,10877720.0,-0.0,9.949999809265137
45,TK,298500,279800.0,-0.05,9.449999809265137
46,XPG,26675000,19334440.0,-0.15,8.800000190734863
47,TSI,2019800,1367180.0,0.01,0.3499999940395355
48,CWT,7733500,5502080.0,-0.04,3.9600000381469727
49,GYT,300,140.0,-8.0,237.0
50,IHL,2555800,2441560.0,0.1,4.480000019073486
51,IRC,122500,63480.0,-0.3,17.799999237060547
52,SAT,15978800,1914540.0,2.6,22.399999618530273
53,TKT,705200,314400.0,0.06,1.600000023841858
54,TRU,113300,69120.0,0.0,4.320000171661377
55,TSC,15600,9560.0,0.0,11.800000190734863
56,ALLA,5193700,3178040.0,-0.09,1.8799999952316284
57,ASEFA,384400,192100.0,-0.0,4.519999980926514
58,CRANE,8217500,6467500.0,-0.03,1.7699999809265137
59,CTW,73800,72040.0,0.05,7.699999809265137
60,KKC,1513100,644620.0,-0.04,1.149999976158142
61,VARO,9600,4620.0,0.18,4.579999923706055
62,UTP,4752400,1661520.0,0.1,20.0
63,BCT,74500,70320.0,0.25,44.25
64,CMAN,53294400,2939180.0,0.22,2.9800000190734863
65,PTTGC,32543600,26511840.0,1.25,59.25
66,SUTHA,5514500,548200.0,0.45,5.449999809265137
67,TCCC,62400,17740.0,0.0,34.5
68,BGC,3401100,1083560.0,-0.0,10.199999809265137
69,NEP,1021200,551820.0,-0.03,0.3700000047683716
70,SFLEX,3496300,2403100.0,-0.0,5.699999809265137
71,SLP,3519200,3412520.0,-0.03,0.7300000190734863
