,Symbols,Vol
0,1DIV,52200
1,CHINA,854900
2,ENGY,21800
3,ENY,15700
4,GLD,2265300
5,TH100,14600
6,2S,2171100
7,3K-BAT,700
8,7UP,302687000
9,A,2500
10,AAV,45087200
11,ABICO,41500
12,ABPIF,1749100
13,ADB,61052600
14,ADVANC,11350300
15,AEC,111506300
16,AFC,940100
17,AGE,80229500
18,AH,3372200
19,AHC,48400
20,AI,40494800
21,AIE,142408600
22,AIMIRT,90800
23,AJ,8763900
24,AKP,7206700
25,ALL,75737600
26,ALLA,6600800
27,ALLY,4225500
28,ALT,19511800
29,ALUCON,3000
30,AMA,6466400
31,AMARIN,334000
32,AMATA,14220800
33,AMATAV,859800
34,AMC,5222500
35,ANAN,22772200
36,AP,17269700
37,APCO,217800
38,APCS,2800300
39,ARIP,76421700
40,ARROW,150500
41,ASAP,1198200
42,ASEFA,248800
43,ASIA,16200
44,ASIAN,33638600
45,ASIMAR,3485100
46,ASK,2161600
47,ASN,47800
48,AU,4283400
49,AWC,99009600
50,AYUD,17500
51,B,88920200
52,B-WORK,139900
53,BA,4282000
54,BAFS,1211700
55,BAM,21671100
56,BC,321600
57,BCP,5911900
58,BEC,66553600
59,BGC,1804800
60,BIZ,5024000
61,BJCHI,3253400
62,BLA,3442700
63,BLAND,95908900
64,BR,2555200
65,BROOK,425287900
66,BTSGIF,3947400
67,BTW,237000
68,BWG,195389500
69,CAZ,2824700
70,CEN,14161300
71,CGH,8162500
72,CHG,93073600
73,CI,14637900
74,CIG,13972800
75,CIMBT,7170300
76,CMC,1997500
77,CNT,3008000
78,CPI,1610500
79,CPL,1047300
80,CPNCG,150100
81,CPT,6345400
82,CPW,11959600
83,CRC,27343600
84,CSC,5900
85,CSS,14423000
86,CTW,105600
87,CWT,21489000
88,DCC,25776900
89,DHOUSE,2897600
90,DIF,15301900
91,DOD,3777300
92,DV8,540600
93,EASON,7107300
94,ECF,42869900
95,ECL,32949700
96,EKH,3380800
97,EMC,99128200
98,EPG,23995500
99,ERW,21793200
100,ERWPF,206200
101,ESSO,52112400
102,ETC,22104400
103,ETE,9048900
104,EVER,28687100
105,FANCY,37304500
106,FLOYD,801500
107,FMT,5500
108,FORTH,57352800
109,FPT,165900
110,FSMART,56783900
111,FSS,13899400
112,FTE,2119800
113,FTREIT,206700
114,FUTUREPF,141700
115,GAHREIT,6700
116,GBX,5009800
117,GCAP,1365000
118,GENCO,18889800
119,GGC,1769400
120,GIFT,722800
121,GJS,314544200
122,GPI,432200
123,GRAMMY,484300
124,GREEN,65257100
125,GSC,712400
126,GTB,2001500
127,GULF,32869000
128,GUNKUL,224287100
129,GVREIT,130000
130,HANA,31346800
131,HARN,2752200
132,HPF,162800
133,HUMAN,1546200
134,ICC,600
135,ICHI,22777900
136,IFS,444200
137,III,117947800
138,IMH,7453800
139,IMPACT,103800
140,INGRS,40708300
141,INSURE,500
142,IP,1362200
143,IRC,98800
144,IRCP,7057500
145,IRPC,267769900
146,ITD,89528300
147,J,37149800
148,JAK,3528600
149,JAS,77353200
150,JCK,33017500
151,JCT,1000
152,JMT,4461900
153,JSP,72628400
154,JUBILE,93100
155,JUTHA,1115400
156,JWD,4630700
157,K,20698900
158,KASET,1285500
159,KCAR,49600
160,KCM,4595700
161,KEX,9345800
162,KIAT,54929200
163,KISS,2852900
164,KK,3398200
165,KKC,3179400
166,KOOL,5422400
167,KPNPF,53300
168,KSL,32841300
169,KTIS,311800
170,KWG,3724900
171,LANNA,5545200
172,LDC,1024800
173,LEO,7371700
174,LHHOTEL,344000
175,LHK,1792300
176,LHPF,98000
177,LPN,5002100
178,LRH,11800
179,LST,656100
180,LUXF,5800
181,MAJOR,4836100
182,MALEE,92500
183,MANRIN,2600
184,MATCH,106200
185,MATI,46600
186,MBAX,699300
187,MBKET,870000
188,MC,3760300
189,MCOT,8691100
190,MCS,5729600
191,METCO,21300
192,MFC,602400
193,MICRO,44393200
194,MJLF,49500
195,MM,257500
196,MOONG,471800
197,MORE,50611400
198,MPG,10715700
199,MTC,21616600
200,NC,200
201,NCAP,11623100
202,NCH,31997900
203,NCL,42324900
204,NEP,134100
205,NETBAY,941600
206,NEW,100
207,NEWS,35156700
208,NNCL,6418600
209,NRF,21624000
210,NSI,49800
211,NTV,88500
212,NVD,6169400
213,NWR,73308700
214,OTO,1332600
215,PAF,2126100
216,PATO,71200
217,PB,4100
218,PDG,950100
219,PDJ,5459300
220,PERM,14589500
221,PG,33000
222,PHOL,13121400
223,PICO,64500
224,PK,691900
225,PL,482900
226,PLANB,19064100
227,PLANET,8813700
228,PM,2824400
229,PMTA,48300
230,PPM,1959900
231,PPP,385000
232,PPPM,1925700
233,PPS,29062000
234,PR9,441800
235,PRAPAT,11974400
236,PREB,356700
237,PRECHA,909300
238,PRIN,257300
239,PRINC,4758400
240,PRM,26983200
241,PROS,27211400
242,PROUD,371800
243,PTG,22568300
244,PTL,5371200
245,PTTGC,23482900
246,PYLON,1531400
247,Q-CON,192400
248,QH,35302700
249,QHHR,725400
250,QHOP,700
251,QHPF,374800
252,QTC,383600
253,RCI,118000
254,RICHY,7298900
255,RPC,76007700
256,RPH,504200
257,RS,7977300
