Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,30.25,31.25,29.75,31.25,31.25,5673000
2021-01-05,31.25,32.5,31.0,32.25,32.25,5974800
2021-01-06,32.75,35.25,32.5,34.25,34.25,18288200
2021-01-07,35.75,36.5,34.5,34.75,34.75,11788000
2021-01-08,35.0,35.25,33.5,33.75,33.75,5117600
2021-01-11,33.75,34.0,32.75,33.5,33.5,1856800
2021-01-12,33.5,34.25,33.25,34.25,34.25,2016100
2021-01-13,34.75,35.75,34.5,35.0,35.0,5266000
2021-01-14,34.75,35.25,34.5,35.25,35.25,1905700
2021-01-15,35.25,35.25,34.0,34.5,34.5,1516400
2021-01-18,34.25,34.25,33.0,33.5,33.5,2500900
2021-01-19,33.75,34.0,33.0,33.5,33.5,1276400
2021-01-20,33.75,33.75,32.75,33.0,33.0,1164300
2021-01-21,33.5,34.5,32.75,32.75,32.75,2992500
2021-01-22,32.75,33.25,32.0,32.0,32.0,1704000
2021-01-25,31.75,32.0,31.5,31.5,31.5,1240200
2021-01-26,31.5,32.0,31.0,31.75,31.75,948600
2021-01-27,31.5,32.25,31.25,31.75,31.75,1171500
2021-01-28,31.25,31.5,31.0,31.0,31.0,986400
2021-01-29,31.25,31.25,29.5,29.75,29.75,2220900
2021-02-01,30.0,31.25,29.5,31.0,31.0,1957100
2021-02-02,31.25,31.75,31.0,31.5,31.5,1210200
2021-02-03,32.0,32.25,31.5,31.5,31.5,1907600
2021-02-04,31.5,32.25,31.25,31.75,31.75,1061600
2021-02-05,32.25,32.75,31.75,32.25,32.25,1106900
2021-02-08,32.75,33.25,32.5,32.5,32.5,1986000
2021-02-09,32.75,33.25,32.0,32.0,32.0,1461600
2021-02-10,32.25,32.25,31.5,31.75,31.75,747600
2021-02-11,31.75,32.0,31.5,31.75,31.75,317700
2021-02-15,31.75,32.0,31.5,31.5,31.5,515000
2021-02-16,31.75,32.0,31.5,32.0,32.0,306000
2021-02-17,31.75,32.25,31.5,32.25,32.25,595300
2021-02-18,32.0,32.25,31.5,31.75,31.75,417100
2021-02-19,31.75,31.75,30.75,31.25,31.25,805500
2021-02-22,31.25,31.25,30.0,30.5,30.5,695200
2021-02-23,30.5,31.0,30.25,30.75,30.75,259100
2021-02-24,30.5,30.75,30.25,30.25,30.25,316400
2021-02-25,30.75,30.75,30.25,30.25,30.25,314900
2021-03-01,30.25,31.0,30.25,30.25,30.25,479400
2021-03-02,31.0,31.75,31.0,31.5,31.5,615200
2021-03-03,31.5,32.5,31.0,32.5,32.5,1732300
2021-03-04,32.5,34.25,32.0,33.75,33.75,3825200
2021-03-05,34.0,36.25,33.5,35.75,35.75,9839700
2021-03-08,36.25,36.5,35.25,35.75,35.75,4535000
2021-03-09,36.25,36.25,35.0,35.0,35.0,604200
2021-03-10,34.75,35.25,34.0,35.25,35.25,897000
2021-03-11,35.5,35.5,34.25,34.5,34.5,1297600
2021-03-12,34.25,34.75,33.75,34.5,34.5,1990800
2021-03-15,34.25,35.75,34.25,35.25,35.25,1398900
2021-03-16,35.25,35.5,34.75,35.25,35.25,682100
2021-03-17,35.25,35.25,34.75,35.0,35.0,560100
2021-03-18,35.25,37.5,35.0,37.25,37.25,6399200
2021-03-19,37.5,37.75,36.5,37.75,37.75,4242300
2021-03-22,37.75,38.5,37.0,38.0,38.0,2615300
2021-03-23,38.0,38.0,37.0,37.0,37.0,1168700
2021-03-24,36.75,37.0,36.25,36.25,36.25,1036400
2021-03-25,36.75,37.25,36.25,36.25,36.25,1553700
2021-03-26,36.5,37.75,36.25,37.0,37.0,1188200
2021-03-29,37.0,38.5,37.0,38.5,38.5,2417500
2021-03-30,39.0,39.0,37.75,38.0,38.0,1446300
2021-03-31,37.75,38.25,37.5,37.5,37.5,558800
2021-04-01,37.75,38.75,37.75,38.25,38.25,1522500
2021-04-02,38.5,38.75,37.0,37.25,37.25,2133000
2021-04-05,37.5,38.0,36.75,37.25,37.25,1150800
2021-04-07,36.5,37.25,36.25,37.0,37.0,1146900
2021-04-08,37.0,37.0,36.5,36.75,36.75,620100
2021-04-09,36.75,37.5,36.5,37.25,37.25,781000
2021-04-12,36.75,36.75,35.25,35.5,35.5,1537900
2021-04-16,35.0,39.25,34.5,36.5,36.5,9488200
2021-04-19,36.75,37.75,36.5,37.0,37.0,2626900
2021-04-20,37.25,39.25,37.0,38.75,38.75,8848100
2021-04-21,39.0,39.5,38.0,38.5,38.5,3901400
2021-04-22,39.0,39.5,38.5,38.5,38.5,2848600
2021-04-23,38.25,38.5,37.0,37.0,37.0,1593300
2021-04-26,37.25,38.0,36.75,37.25,37.25,1062000
2021-04-27,37.25,37.5,36.75,37.25,37.25,910400
2021-04-28,37.25,37.25,36.5,37.0,37.0,833600
