Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,20.100000381469727,22.399999618530273,20.0,22.200000762939453,21.8884220123291,15984100
2021-01-05,22.700000762939453,25.75,22.700000762939453,25.5,25.142105102539062,42244700
2021-01-06,25.5,26.5,24.0,24.5,24.156139373779297,24276200
2021-01-07,25.0,25.75,24.700000762939453,24.899999618530273,24.550525665283203,18124500
2021-01-08,25.25,25.5,24.700000762939453,25.25,24.895612716674805,16493500
2021-01-11,25.0,25.25,24.200000762939453,24.600000381469727,24.254735946655273,14754400
2021-01-12,24.600000381469727,25.5,24.399999618530273,25.5,25.142105102539062,25619500
2021-01-13,26.0,27.5,25.75,26.75,26.374561309814453,46297900
2021-01-14,26.25,26.75,26.0,26.25,25.88157844543457,9763000
2021-01-15,26.25,26.75,25.5,26.0,25.635087966918945,10883000
2021-01-18,25.5,26.5,24.899999618530273,26.5,26.128068923950195,16555700
2021-01-19,27.25,27.5,26.25,26.5,26.128068923950195,16818500
2021-01-20,26.5,26.5,25.5,25.75,25.388595581054688,10369700
2021-01-21,26.0,26.25,25.5,26.0,25.635087966918945,6256200
2021-01-22,26.0,26.0,24.299999237060547,24.399999618530273,24.05754280090332,15530500
2021-01-25,24.600000381469727,25.25,24.600000381469727,25.25,24.895612716674805,10156000
2021-01-26,25.0,25.25,24.700000762939453,25.0,24.64912223815918,8077300
2021-01-27,25.0,25.25,24.799999237060547,24.799999237060547,24.451929092407227,4529400
2021-01-28,24.5,24.700000762939453,23.600000381469727,23.700000762939453,23.367368698120117,15360100
2021-01-29,23.899999618530273,24.399999618530273,23.5,24.100000381469727,23.761754989624023,14312600
2021-02-01,24.399999618530273,25.5,24.299999237060547,25.5,25.142105102539062,21859000
2021-02-02,26.25,26.25,25.75,25.75,25.388595581054688,19830400
2021-02-03,26.0,26.25,25.25,25.75,25.388595581054688,11288500
2021-02-04,26.0,26.0,25.0,25.5,25.142105102539062,7342300
2021-02-05,25.5,26.0,25.25,26.0,25.635087966918945,5690500
2021-02-08,26.0,26.0,25.25,25.75,25.388595581054688,6149100
2021-02-09,26.0,26.5,25.75,26.0,25.635087966918945,13561400
2021-02-10,26.25,26.25,25.5,25.5,25.142105102539062,3038100
2021-02-11,25.75,26.25,25.5,26.0,25.635087966918945,8365500
2021-02-15,26.25,28.0,25.75,27.75,27.360525131225586,35172400
2021-02-16,28.0,28.0,27.0,27.25,26.867544174194336,12535200
2021-02-17,27.0,28.75,26.75,28.75,28.34649085998535,21200600
2021-02-18,28.5,29.75,28.25,29.0,28.592981338500977,18311500
2021-02-19,28.0,28.5,27.25,28.0,27.607017517089844,16438900
2021-02-22,28.25,28.25,26.75,27.5,27.11403465270996,8744000
2021-02-23,27.75,28.75,27.75,28.25,27.85350799560547,8330900
2021-02-24,28.0,28.75,27.5,28.5,28.100000381469727,5062300
2021-02-25,28.5,29.75,28.5,29.25,28.839473724365234,15882100
2021-03-01,28.75,29.5,28.75,29.25,28.839473724365234,3336900
2021-03-02,29.0,29.0,28.0,28.5,28.100000381469727,5401000
2021-03-03,28.0,28.25,27.5,28.0,28.0,4319300
2021-03-04,27.75,28.5,27.5,27.75,27.75,7183900
2021-03-05,28.25,28.75,28.0,28.25,28.25,5694000
2021-03-08,28.75,29.0,28.0,28.25,28.25,8809200
2021-03-09,28.25,28.25,27.0,27.75,27.75,6235700
2021-03-10,27.75,27.75,27.25,27.75,27.75,2582400
2021-03-11,27.75,28.25,27.25,27.75,27.75,4470300
2021-03-12,28.0,28.75,27.75,27.75,27.75,6903700
2021-03-15,28.0,28.25,27.25,27.75,27.75,3809000
2021-03-16,28.0,28.0,27.25,27.5,27.5,2192700
2021-03-17,27.75,28.0,27.25,27.5,27.5,5610100
2021-03-18,27.5,27.75,27.0,27.25,27.25,4768000
2021-03-19,27.0,27.5,26.25,27.5,27.5,8049900
2021-03-22,27.5,27.5,26.5,26.75,26.75,5345200
2021-03-23,26.75,27.0,26.25,26.25,26.25,2681100
2021-03-24,26.0,26.25,25.75,26.0,26.0,3626900
2021-03-25,26.25,26.5,25.75,26.0,26.0,5939000
2021-03-26,26.0,26.25,25.5,26.25,26.25,5045600
2021-03-29,26.75,27.0,26.25,26.25,26.25,4671700
2021-03-30,26.25,26.5,26.0,26.25,26.25,4050700
2021-03-31,26.25,26.5,25.25,25.75,25.75,7991200
2021-04-01,25.75,26.25,25.75,26.25,26.25,3964600
2021-04-02,26.5,26.5,25.75,26.0,26.0,3512900
2021-04-05,26.0,26.0,25.25,25.25,25.25,4765300
2021-04-07,25.0,25.25,24.700000762939453,24.899999618530273,24.899999618530273,3581400
2021-04-08,24.899999618530273,25.25,24.700000762939453,24.799999237060547,24.799999237060547,7455900
2021-04-09,24.899999618530273,25.25,24.799999237060547,25.0,25.0,4013100
2021-04-12,24.899999618530273,24.899999618530273,24.0,24.200000762939453,24.200000762939453,10204000
2021-04-16,24.200000762939453,24.899999618530273,23.899999618530273,24.899999618530273,24.899999618530273,6375700
2021-04-19,24.899999618530273,25.25,24.600000381469727,24.799999237060547,24.799999237060547,4263700
2021-04-20,25.0,25.5,24.899999618530273,25.0,25.0,2715500
2021-04-21,24.899999618530273,25.25,24.799999237060547,24.899999618530273,24.899999618530273,3334500
2021-04-22,25.0,25.25,24.5,24.5,24.5,5053900
2021-04-23,24.5,24.700000762939453,24.299999237060547,24.5,24.5,3746800
2021-04-26,24.399999618530273,24.899999618530273,24.399999618530273,24.600000381469727,24.600000381469727,3160700
2021-04-27,24.700000762939453,25.0,24.600000381469727,24.899999618530273,24.899999618530273,4270400
2021-04-28,25.25,25.5,24.899999618530273,25.0,25.0,5563900
