Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,29.0,30.75,28.5,30.5,30.5,1567700
2021-01-05,30.75,31.25,30.25,30.75,30.75,2103300
2021-01-06,31.0,31.5,30.25,30.5,30.5,2954300
2021-01-07,31.0,32.25,30.75,32.0,32.0,4686400
2021-01-08,32.75,32.75,31.25,31.5,31.5,3425100
2021-01-11,31.75,32.0,31.0,31.75,31.75,1646700
2021-01-12,31.75,32.0,31.25,32.0,32.0,2205700
2021-01-13,32.25,32.25,31.5,31.5,31.5,1716900
2021-01-14,31.75,31.75,31.25,31.25,31.25,1858900
2021-01-15,31.25,31.25,30.75,31.0,31.0,989200
2021-01-18,31.0,31.25,30.75,30.75,30.75,778500
2021-01-19,31.0,31.25,30.5,30.75,30.75,1545400
2021-01-20,31.25,31.25,30.5,30.75,30.75,933000
2021-01-21,31.0,31.75,31.0,31.5,31.5,2281500
2021-01-22,31.5,31.5,29.0,30.0,30.0,6170900
2021-01-25,29.75,30.0,29.25,29.75,29.75,1920600
2021-01-26,30.0,30.25,29.75,30.0,30.0,1188500
2021-01-27,30.25,30.25,29.75,29.75,29.75,678100
2021-01-28,29.5,29.75,29.0,29.0,29.0,1730900
2021-01-29,29.25,29.5,28.5,28.75,28.75,1361700
2021-02-01,28.75,29.75,28.5,29.25,29.25,2250500
2021-02-02,29.5,30.0,29.25,29.5,29.5,2185100
2021-02-03,29.75,30.0,29.0,29.25,29.25,2469800
2021-02-04,29.25,29.75,28.75,28.75,28.75,2327500
2021-02-05,29.0,29.5,28.5,29.0,29.0,5107800
2021-02-08,29.25,29.5,28.75,29.0,29.0,1946900
2021-02-09,29.0,29.25,28.5,29.0,29.0,2059300
2021-02-10,29.0,29.0,28.75,28.75,28.75,562200
2021-02-11,28.75,29.0,28.5,28.75,28.75,789200
2021-02-15,29.0,29.0,28.5,28.75,28.75,1127500
2021-02-16,28.75,30.25,28.75,29.5,29.5,4037100
2021-02-17,29.5,29.75,29.0,29.0,29.0,1461300
2021-02-18,29.25,29.25,28.75,28.75,28.75,1047300
2021-02-19,28.75,29.25,28.75,29.0,29.0,1122200
2021-02-22,29.0,29.25,28.0,28.25,28.25,1967300
2021-02-23,28.25,28.5,28.0,28.5,28.5,850100
2021-02-24,28.5,28.75,28.25,28.5,28.5,752300
2021-02-25,28.5,29.0,28.5,28.75,28.75,732800
2021-03-01,28.25,28.75,28.25,28.75,28.75,698500
2021-03-02,28.75,29.0,28.5,28.75,28.75,606100
2021-03-03,29.0,29.75,28.75,29.25,29.25,2490100
2021-03-04,29.5,31.25,29.0,30.75,30.75,7432300
2021-03-05,30.25,31.25,30.25,30.5,30.5,2719300
2021-03-08,31.0,31.0,29.75,30.0,30.0,2382400
2021-03-09,30.25,30.25,29.5,29.75,29.75,1885300
2021-03-10,29.75,30.0,29.5,29.75,29.75,1352300
2021-03-11,30.0,30.75,29.75,30.0,30.0,1886500
2021-03-12,30.25,30.75,29.75,30.0,30.0,2394700
2021-03-15,30.0,30.25,29.5,29.75,29.75,1284700
2021-03-16,30.0,30.25,29.5,29.75,29.75,1288900
2021-03-17,30.0,31.0,29.75,30.25,30.25,2907300
2021-03-18,30.5,30.5,30.0,30.25,30.25,1108200
2021-03-19,30.0,30.75,30.0,30.5,30.5,2546300
2021-03-22,30.5,34.75,30.5,34.75,34.75,20710000
2021-03-23,35.5,35.5,33.25,33.25,33.25,9556400
2021-03-24,33.25,34.5,32.5,33.5,33.5,5088400
2021-03-25,34.0,35.0,33.25,34.0,34.0,7072000
2021-03-26,34.25,34.25,33.25,33.5,33.5,3003300
2021-03-29,33.5,33.75,32.5,32.5,32.5,3271800
2021-03-30,32.75,33.75,32.5,33.0,33.0,2783900
2021-03-31,33.0,33.75,33.0,33.25,33.25,1217600
2021-04-01,33.5,34.0,33.0,33.25,33.25,2640100
2021-04-02,33.5,34.25,33.25,34.0,34.0,5240700
2021-04-05,34.25,34.25,32.75,33.0,33.0,3724000
2021-04-07,32.5,32.75,32.0,32.0,32.0,2401200
2021-04-08,31.75,31.75,31.0,31.5,31.5,3387100
2021-04-09,31.25,32.25,31.25,31.5,31.5,2055300
2021-04-12,31.5,33.0,31.5,32.25,32.25,4236600
2021-04-16,32.25,34.0,32.25,33.25,33.25,6216600
2021-04-19,39.0,43.0,36.75,43.0,43.0,33117800
2021-04-20,45.5,50.25,43.0,43.0,43.0,67604800
2021-04-21,43.5,47.0,43.5,46.0,46.0,20658500
2021-04-22,44.5,45.25,43.25,44.0,44.0,14522700
2021-04-23,44.5,45.25,40.25,41.0,41.0,21438800
2021-04-26,43.5,49.75,42.75,49.25,49.25,58040700
2021-04-27,50.0,55.25,48.0,52.5,52.5,66526800
2021-04-28,53.25,53.25,50.5,51.75,51.75,15786300
