Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,72.5,79.25,72.5,79.0,77.95709991455078,70543600
2021-01-05,78.75,85.75,78.25,84.75,83.63118743896484,93811500
2021-01-06,84.25,84.5,79.0,79.75,78.69719696044922,63632300
2021-01-07,81.5,84.5,80.0,83.5,82.39768981933594,58467900
2021-01-08,84.25,84.75,80.25,82.0,80.91749572753906,51217300
2021-01-11,81.5,83.0,81.0,82.0,80.91749572753906,25422200
2021-01-12,82.0,84.25,81.75,83.5,82.39768981933594,40519900
2021-01-13,83.75,88.0,82.75,85.75,84.61798858642578,63250500
2021-01-14,85.25,85.5,83.5,84.0,82.8910903930664,33697400
2021-01-15,83.5,84.0,81.25,81.5,80.4240951538086,37668900
2021-01-18,81.25,83.75,80.5,83.5,82.39768981933594,30800300
2021-01-19,84.0,84.75,82.75,83.25,82.15099334716797,31449500
2021-01-20,83.25,83.5,81.25,81.25,80.1773910522461,26704500
2021-01-21,82.0,82.75,80.25,80.25,79.19059753417969,27717600
2021-01-22,80.25,80.5,79.0,79.25,78.20379638671875,22158600
2021-01-25,79.25,81.75,79.0,81.5,80.4240951538086,25053200
2021-01-26,81.5,83.5,80.5,83.5,82.39768981933594,30500300
2021-01-27,83.5,83.75,81.5,81.5,80.4240951538086,31230300
2021-01-28,80.25,81.0,77.5,78.0,76.97029876708984,36369700
2021-01-29,78.75,79.25,76.75,78.25,77.21699523925781,27902500
2021-02-01,78.0,79.0,77.25,78.25,77.21699523925781,16702800
2021-02-02,78.75,79.5,78.5,78.75,77.71039581298828,13538800
2021-02-03,79.25,79.5,77.5,78.0,76.97029876708984,15441400
2021-02-04,78.0,78.0,76.25,76.25,75.24340057373047,19583200
2021-02-05,76.75,78.0,76.25,77.0,75.9834976196289,16083700
2021-02-08,77.5,78.75,76.5,77.25,76.2302017211914,24473300
2021-02-09,77.75,81.5,77.5,80.5,79.43729400634766,40560100
2021-02-10,82.5,83.0,80.0,80.5,79.43729400634766,39293300
2021-02-11,80.75,81.25,79.25,80.75,79.68399810791016,17190700
2021-02-15,80.5,81.25,79.5,79.5,78.45050048828125,20264800
2021-02-16,79.75,81.5,79.75,81.0,79.93069458007812,19487900
2021-02-17,80.75,81.5,79.0,79.0,77.95709991455078,25162500
2021-02-18,79.5,79.75,78.5,79.0,77.95709991455078,9838100
2021-02-19,78.75,79.25,77.5,77.75,76.72360229492188,12776800
2021-02-22,77.5,78.0,75.25,75.25,74.25659942626953,19873300
2021-02-23,75.25,77.0,75.25,76.75,75.73680114746094,12557400
2021-02-24,77.25,77.5,76.0,76.0,74.9967041015625,15728600
2021-02-25,77.0,77.25,75.25,75.25,74.25659942626953,14406800
2021-03-01,74.0,75.5,74.0,75.25,74.25659942626953,13053100
2021-03-02,75.25,76.25,75.0,75.75,74.75,9856600
2021-03-03,75.25,76.75,74.75,76.75,76.75,14120100
2021-03-04,76.25,76.75,75.5,75.5,75.5,10138100
2021-03-05,75.25,76.25,74.5,75.5,75.5,9652000
2021-03-08,76.0,76.25,73.25,73.5,73.5,16457200
2021-03-09,73.75,75.0,72.25,74.75,74.75,20279200
2021-03-10,75.5,76.0,74.5,74.75,74.75,16380500
2021-03-11,75.5,75.75,74.75,75.0,75.0,8380800
2021-03-12,75.5,78.5,75.25,76.75,76.75,34590000
2021-03-15,77.0,77.25,75.5,75.75,75.75,14048900
2021-03-16,76.0,76.75,75.75,76.0,76.0,9600400
2021-03-17,75.75,76.0,75.0,75.25,75.25,10798600
2021-03-18,75.75,76.0,74.5,74.75,74.75,9508600
2021-03-19,74.5,74.75,74.25,74.5,74.5,5549200
2021-03-22,74.5,75.0,73.75,74.5,74.5,8691300
2021-03-23,75.0,75.75,74.0,74.25,74.25,11223500
2021-03-24,74.25,74.75,74.0,74.25,74.25,5743400
2021-03-25,75.5,77.5,75.5,76.5,76.5,45949100
2021-03-26,77.0,77.5,76.0,76.0,76.0,14052400
2021-03-29,76.5,76.75,75.5,75.75,75.75,9817900
2021-03-30,76.0,76.25,75.0,75.0,75.0,8645100
2021-03-31,75.25,77.25,75.0,77.0,77.0,19110500
2021-04-01,77.5,77.75,76.5,76.5,76.5,18670800
2021-04-02,77.0,77.0,75.75,76.0,76.0,6556900
2021-04-05,76.0,76.0,74.75,74.75,74.75,7473700
2021-04-07,74.25,74.75,73.5,73.5,73.5,9813200
2021-04-08,74.0,74.25,73.5,73.5,73.5,4491300
2021-04-09,73.5,74.5,73.5,73.75,73.75,6538100
2021-04-12,73.5,73.5,72.0,72.0,72.0,8470400
2021-04-16,72.25,73.25,72.0,72.5,72.5,7374200
2021-04-19,73.0,74.0,72.75,73.5,73.5,8366300
2021-04-20,73.5,74.75,73.5,74.25,74.25,8091600
2021-04-21,73.75,74.25,73.5,73.5,73.5,3749400
2021-04-22,74.0,74.25,72.5,72.5,72.5,8556800
2021-04-23,72.0,73.25,72.0,72.5,72.5,7444800
2021-04-26,72.25,72.5,70.75,71.25,71.25,10876900
2021-04-27,71.25,72.25,71.0,71.25,71.25,6032400
2021-04-28,71.25,74.0,71.0,73.25,73.25,15242100
