Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,55.5,56.5,55.25,56.0,54.6909065246582,7129100
2021-01-05,56.0,58.0,56.0,57.75,56.39999771118164,16430700
2021-01-06,58.0,58.75,57.5,57.75,56.39999771118164,16729800
2021-01-07,58.25,58.25,57.25,57.5,56.15584182739258,7347100
2021-01-08,57.75,61.75,57.5,60.0,58.5974006652832,46646800
2021-01-11,60.0,61.0,59.25,59.75,58.35324478149414,18437000
2021-01-12,59.75,59.75,58.5,58.75,57.37662124633789,11870700
2021-01-13,59.25,59.75,58.0,58.5,57.13246536254883,11031600
2021-01-14,58.75,59.25,58.25,58.5,57.13246536254883,7540100
2021-01-15,58.5,59.5,58.25,58.25,56.888309478759766,12116800
2021-01-18,58.0,58.25,57.25,57.5,56.15584182739258,8762800
2021-01-19,57.75,58.75,57.5,57.75,56.39999771118164,8650400
2021-01-20,58.0,58.25,57.5,57.5,56.15584182739258,8610100
2021-01-21,57.75,58.75,57.5,58.0,56.6441535949707,7959500
2021-01-22,58.0,58.5,57.5,57.75,56.39999771118164,10470400
2021-01-25,57.75,57.75,57.0,57.75,56.39999771118164,7341700
2021-01-26,57.75,58.0,57.0,57.75,56.39999771118164,8276800
2021-01-27,57.75,58.0,56.75,57.25,55.911685943603516,11609000
2021-01-28,56.75,57.25,56.0,56.25,54.935062408447266,11059600
2021-01-29,56.25,56.75,56.0,56.0,54.6909065246582,8277500
2021-02-01,56.5,56.75,56.0,56.25,54.935062408447266,9198200
2021-02-02,56.5,57.25,56.25,57.0,55.66753005981445,6211000
2021-02-03,57.25,57.25,55.5,55.75,54.44675064086914,13377500
2021-02-04,55.75,56.25,55.25,55.25,53.958438873291016,9695800
2021-02-05,55.5,55.75,55.0,55.75,54.44675064086914,6759500
2021-02-08,55.75,56.75,55.5,56.25,54.935062408447266,11321300
2021-02-09,56.5,56.75,55.75,55.75,54.44675064086914,13924700
2021-02-10,56.25,57.25,56.25,56.75,55.42337417602539,11469100
2021-02-11,56.75,57.25,56.25,57.0,55.66753005981445,8077900
2021-02-15,57.25,57.5,57.0,57.0,55.66753005981445,6529000
2021-02-16,57.25,57.5,57.0,57.25,55.911685943603516,6737600
2021-02-17,57.5,57.75,57.0,57.5,56.15584182739258,7518200
2021-02-18,57.25,57.75,57.25,57.5,56.15584182739258,4757900
2021-02-19,57.75,58.0,57.25,57.75,56.39999771118164,9842100
2021-02-22,56.25,56.5,56.0,56.0,56.0,8848700
2021-02-23,56.0,56.25,55.75,55.75,55.75,7365800
2021-02-24,55.75,56.25,55.0,55.25,55.25,14723500
2021-02-25,55.5,56.0,55.0,55.75,55.75,11972200
2021-03-01,55.5,56.0,55.25,55.75,55.75,6466900
2021-03-02,55.5,55.5,54.5,54.5,54.5,13918000
2021-03-03,54.75,55.5,54.75,55.5,55.5,6359400
2021-03-04,55.5,55.5,55.0,55.25,55.25,8699800
2021-03-05,55.0,56.0,55.0,55.0,55.0,8247800
2021-03-08,55.25,55.5,54.75,55.0,55.0,8656900
2021-03-09,55.25,55.75,55.0,55.25,55.25,5973400
2021-03-10,55.5,56.5,55.5,56.25,56.25,5865900
2021-03-11,56.25,56.5,55.75,55.75,55.75,5093900
2021-03-12,55.75,56.0,55.5,55.75,55.75,8009800
2021-03-15,56.0,56.25,55.5,55.75,55.75,5448400
2021-03-16,55.75,56.0,55.5,55.75,55.75,6436800
2021-03-17,55.75,56.5,55.75,56.25,56.25,5390300
2021-03-18,56.5,56.75,56.0,56.25,56.25,4247900
2021-03-19,55.75,56.25,55.75,56.25,56.25,6992500
2021-03-22,56.25,56.75,56.0,56.25,56.25,3341200
2021-03-23,56.25,56.5,56.25,56.5,56.5,5049700
2021-03-24,56.25,56.75,56.25,56.75,56.75,4543100
2021-03-25,57.0,58.0,56.75,57.25,57.25,11840900
2021-03-26,57.5,57.75,56.75,57.0,57.0,4127700
2021-03-29,57.25,57.5,57.0,57.5,57.5,1812500
2021-03-30,57.5,58.0,57.25,58.0,58.0,5664900
2021-03-31,58.0,58.5,57.5,58.0,58.0,10138300
2021-04-01,58.25,58.75,58.25,58.5,58.5,6601700
2021-04-02,58.25,58.5,57.5,57.5,57.5,4526600
2021-04-05,57.25,58.0,57.25,57.5,57.5,2990700
2021-04-07,57.0,57.25,56.75,57.25,57.25,6834200
2021-04-08,57.0,57.75,57.0,57.5,57.5,6471400
2021-04-09,57.25,57.75,57.25,57.5,57.5,4222300
2021-04-12,57.0,57.75,56.25,57.0,57.0,11492700
2021-04-16,57.25,58.5,57.0,58.5,58.5,11942300
2021-04-19,63.0,63.75,61.5,63.0,63.0,71962100
2021-04-20,63.25,63.75,63.0,63.5,63.5,22751500
2021-04-21,63.25,64.25,63.25,64.0,64.0,36384100
2021-04-22,63.75,64.0,63.25,63.75,63.75,25964900
2021-04-23,63.5,64.25,63.5,64.0,64.0,27009400
2021-04-26,64.0,64.5,63.75,64.25,64.25,14271000
2021-04-27,64.25,64.25,63.75,64.0,64.0,9571200
2021-04-28,64.0,64.25,63.75,64.0,64.0,14637400
