Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,20.0,20.899999618530273,19.5,20.799999237060547,20.6832275390625,13332700
2021-01-05,20.899999618530273,21.200000762939453,20.700000762939453,20.899999618530273,20.782665252685547,7224700
2021-01-06,21.0,21.0,20.200000762939453,20.299999237060547,20.186033248901367,11860200
2021-01-07,20.399999618530273,20.700000762939453,20.399999618530273,20.700000762939453,20.583789825439453,6867100
2021-01-08,20.799999237060547,21.399999618530273,20.700000762939453,21.0,20.882104873657227,18166300
2021-01-11,21.0,22.0,21.0,21.899999618530273,21.77705192565918,17629600
2021-01-12,21.899999618530273,22.100000381469727,21.600000381469727,22.100000381469727,21.975929260253906,14361000
2021-01-13,22.399999618530273,23.200000762939453,22.299999237060547,22.600000381469727,22.47312355041504,20646100
2021-01-14,22.799999237060547,23.0,21.899999618530273,22.100000381469727,21.975929260253906,16793900
2021-01-15,22.200000762939453,22.399999618530273,21.5,22.200000762939453,22.075368881225586,13735300
2021-01-18,22.299999237060547,22.700000762939453,22.200000762939453,22.5,22.37368392944336,9102900
2021-01-19,22.700000762939453,23.0,22.600000381469727,22.799999237060547,22.671998977661133,9077800
2021-01-20,23.0,23.100000381469727,22.5,22.600000381469727,22.47312355041504,8258800
2021-01-21,22.799999237060547,22.799999237060547,22.200000762939453,22.299999237060547,22.174806594848633,9460500
2021-01-22,22.299999237060547,22.5,22.0,22.200000762939453,22.075368881225586,6418700
2021-01-25,22.299999237060547,22.5,22.0,22.100000381469727,21.975929260253906,4675700
2021-01-26,22.0,22.899999618530273,21.799999237060547,22.299999237060547,22.174806594848633,25628300
2021-01-27,22.299999237060547,22.799999237060547,22.299999237060547,22.799999237060547,22.671998977661133,9353200
2021-01-28,22.600000381469727,23.299999237060547,22.0,22.299999237060547,22.174806594848633,33529100
2021-01-29,22.700000762939453,22.700000762939453,22.100000381469727,22.5,22.37368392944336,10408500
2021-02-01,22.899999618530273,23.200000762939453,22.5,22.600000381469727,22.47312355041504,22123300
2021-02-02,22.600000381469727,24.100000381469727,22.0,23.600000381469727,23.46750831604004,71104600
2021-02-03,23.899999618530273,24.899999618530273,23.899999618530273,24.700000762939453,24.56133460998535,52226300
2021-02-04,24.899999618530273,25.5,24.700000762939453,24.700000762939453,24.56133460998535,34636700
2021-02-05,24.899999618530273,25.25,24.700000762939453,24.899999618530273,24.760210037231445,15136000
2021-02-08,25.5,27.0,25.25,27.0,26.848421096801758,26317500
2021-02-09,27.0,27.5,26.5,27.25,27.097017288208008,12683100
2021-02-10,27.25,27.25,26.25,26.75,26.599824905395508,9502200
2021-02-11,26.75,27.25,25.75,27.25,27.097017288208008,10746700
2021-02-15,27.5,28.75,27.25,28.75,28.58859634399414,17178200
2021-02-16,28.75,28.75,28.0,28.75,28.58859634399414,8163000
2021-02-17,28.5,29.0,28.25,28.5,28.34000015258789,7340900
2021-02-18,28.75,29.0,27.75,27.75,27.594209671020508,6527500
2021-02-19,27.75,28.5,27.5,28.0,27.84280776977539,5455600
2021-02-22,28.0,28.25,26.0,26.75,26.599824905395508,21198700
2021-02-23,27.0,27.5,26.75,27.25,27.097017288208008,8097200
2021-02-24,27.5,27.5,26.25,26.25,26.102630615234375,10732400
2021-02-25,26.5,27.25,26.5,27.0,26.848421096801758,6653500
2021-03-01,26.75,28.25,26.5,27.0,26.848421096801758,19548300
2021-03-02,28.25,28.5,27.75,28.25,28.09140396118164,8066000
2021-03-03,28.75,30.0,28.25,30.0,29.831579208374023,33822800
2021-03-04,29.75,30.0,29.25,29.75,29.582983016967773,11922900
2021-03-05,29.75,31.25,29.5,31.0,30.825963973999023,20019100
2021-03-08,32.25,34.0,32.0,33.0,32.814735412597656,27833500
2021-03-09,34.0,34.75,33.25,34.0,33.80912399291992,20844900
