Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,60.0,60.0,60.0,60.0,60.0,0
2021-01-05,60.0,60.0,60.0,60.0,60.0,0
2021-01-06,48.0,54.0,48.0,50.0,50.0,900
2021-01-07,56.0,56.0,56.0,56.0,56.0,500
2021-01-08,56.0,56.0,56.0,56.0,56.0,0
2021-01-11,56.0,56.0,56.0,56.0,56.0,0
2021-01-12,56.0,56.0,56.0,56.0,56.0,0
2021-01-13,56.0,56.0,56.0,56.0,56.0,0
2021-01-14,56.0,56.0,56.0,56.0,56.0,0
2021-01-15,48.5,56.0,47.0,49.25,49.25,8200
2021-01-18,49.75,50.25,49.75,50.25,50.25,200
2021-01-19,50.5,50.5,50.25,50.25,50.25,400
2021-01-20,51.0,51.0,50.25,50.25,50.25,200
2021-01-21,50.25,50.25,48.5,48.5,48.5,200
2021-01-22,48.5,48.5,48.5,48.5,48.5,0
2021-01-25,48.5,48.5,48.5,48.5,48.5,0
2021-01-26,49.0,49.0,49.0,49.0,49.0,100
2021-01-27,49.0,49.0,49.0,49.0,49.0,100
2021-01-28,49.0,49.0,49.0,49.0,49.0,100
2021-01-29,49.0,49.0,49.0,49.0,49.0,0
2021-02-01,49.0,49.0,49.0,49.0,49.0,0
2021-02-02,49.0,49.0,49.0,49.0,49.0,0
2021-02-03,49.0,49.0,49.0,49.0,49.0,0
2021-02-04,49.0,49.0,49.0,49.0,49.0,0
2021-02-05,49.0,49.0,49.0,49.0,49.0,0
2021-02-08,49.0,49.0,49.0,49.0,49.0,0
2021-02-09,49.0,49.0,49.0,49.0,49.0,200
2021-02-10,49.0,49.0,49.0,49.0,49.0,0
2021-02-11,49.0,49.0,49.0,49.0,49.0,0
2021-02-15,46.5,46.5,46.5,46.5,46.5,100
2021-02-16,46.5,46.5,46.5,46.5,46.5,0
2021-02-17,46.5,46.5,46.5,46.5,46.5,0
2021-02-18,45.0,45.0,45.0,45.0,45.0,100
2021-02-19,45.0,45.0,45.0,45.0,45.0,0
2021-02-22,45.0,45.0,45.0,45.0,45.0,0
2021-02-23,45.0,45.0,45.0,45.0,45.0,0
2021-02-24,45.0,45.0,45.0,45.0,45.0,0
2021-02-25,45.0,45.0,45.0,45.0,45.0,0
2021-03-01,45.0,45.0,45.0,45.0,45.0,0
2021-03-02,45.0,45.0,45.0,45.0,45.0,0
2021-03-03,45.0,45.0,45.0,45.0,45.0,0
2021-03-04,45.0,45.0,45.0,45.0,45.0,0
2021-03-05,45.0,45.0,45.0,45.0,45.0,0
2021-03-08,45.0,45.0,45.0,45.0,45.0,0
2021-03-09,45.0,45.0,45.0,45.0,45.0,0
2021-03-10,45.0,45.0,45.0,45.0,45.0,200
2021-03-11,45.0,45.0,45.0,45.0,45.0,0
2021-03-12,45.0,45.0,45.0,45.0,45.0,0
2021-03-15,45.0,45.0,45.0,45.0,45.0,0
2021-03-16,45.5,45.5,45.5,45.5,45.5,100
2021-03-17,45.5,45.5,45.5,45.5,45.5,0
2021-03-18,45.5,45.5,45.5,45.5,45.5,0
2021-03-19,45.5,45.5,45.5,45.5,45.5,0
2021-03-22,45.5,45.5,45.5,45.5,45.5,0
2021-03-23,45.5,45.5,45.5,45.5,45.5,0
2021-03-24,46.25,46.25,46.25,46.25,46.25,400
2021-03-25,46.25,46.25,46.25,46.25,46.25,300
2021-03-26,46.25,46.25,46.25,46.25,46.25,0
2021-03-29,46.25,46.25,46.25,46.25,46.25,0
2021-03-30,46.25,46.25,46.25,46.25,46.25,0
2021-03-31,46.25,46.25,46.25,46.25,46.25,0
2021-04-01,46.25,46.25,46.25,46.25,46.25,0
2021-04-02,46.25,46.25,46.25,46.25,46.25,0
2021-04-05,47.0,47.0,47.0,47.0,47.0,100
2021-04-07,47.0,47.0,47.0,47.0,47.0,0
2021-04-08,47.0,47.0,47.0,47.0,47.0,0
2021-04-09,47.0,47.0,47.0,47.0,47.0,0
2021-04-12,47.0,47.0,47.0,47.0,47.0,0
2021-04-16,50.0,54.0,50.0,54.0,54.0,800
2021-04-19,54.0,54.0,49.0,53.0,53.0,400
2021-04-20,53.0,53.0,53.0,53.0,53.0,0
2021-04-21,49.5,49.5,48.25,49.25,49.25,1000
2021-04-22,49.25,49.25,49.25,49.25,49.25,0
2021-04-23,49.25,49.25,49.25,49.25,49.25,0
2021-04-26,53.0,53.0,52.5,52.5,52.5,1000
2021-04-27,52.0,52.0,52.0,52.0,52.0,800
